Name,Location,Province,OpenTime,CloseTime,Features,Recommendation,OtherAcitivities
Sara Buri - Phatthana Nikhom Bicycle Track,Mueang,1,6:00,19:00,5,1,1
Nong Chok's Roadbike loop,Nong Chok,1,6:00,19:00,5,2,1
Udom Suk's Ferry terminal loop,Udom Suk,1,6:00,19:00,6,2,1
Di Bosco Coffee Specialist loop,Mae Rim,16,6:00,19:00,"1, 4, 6",1,1
Doi Pui View Point loop,Mueang,16,6:00,19:00,13,2,1
Tiger Ted Cafe loop,Mueang,16,6:00,19:00,4,2,1
Extremsteigung loop,Thalang,18,6:00,19:00,"4, 5, 11, 12, 17",2,1
Kamala's Sam loop,Kathu,18,6:00,19:00,6,2,1
Beach vom feinsten loop,Kathu,18,6:00,19:00,"1, 2, 4",3,0
Tawan Place's Sam loop,Thalang,18,6:00,19:00,"5, 12",2,1
Kamala's View Point loop,Kathu,18,6:00,19:00,"5, 6, 11, 14",2,0
Goodsouls Restaurant,Mueang,16,6:00,19:00,"5, 6",2,1
Hua Hin's Bike Path loop,Hua Hin,19,6:00,19:00,"3, 16, 18",3,1
Ristr8to - Specialty coffee loop,Mueang,16,6:00,19:00,"3, 18",3,0
Kamala's View Point – Extremsteigung loop,Kathu,18,6:00,19:00,"15, 17",3,0
Gate to Khao Yai National park,Pak Chong,7,6:00,19:00,"3, 17",3,0
Ristr8to - Specialty coffee – Tiger Ted Cafe loop,Mueang,16,6:00,19:00,"6, 15",2,1
Mai Khao's Sam loop,Mai Khao,18,6:00,19:00,"1, 2, 3, 5, 13",3,0
Mae Sa Waterfall – di Bosco Coffee Specialist loop,Mae Rim,16,6:00,19:00,"4, 6",3,0
BangTao's Sam – Extremsteigung loop,Thalang,18,6:00,19:00,"7, 13",2,1
Samoeng Switchbacks – Thachang hill coffee,Pak Chong,7,6:00,19:00,"4, 5, 6, 7, 8, 11",3,0
Outer route of Sukhothai old town,Sukhothai,27,0:00,0:00,"4,5,12",2,1
Bueng Thung Sang,Khon kaen,15,0:00,0:00,"1,2,3 ,4",1,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
